Title,Authors,Description,Category,Publisher,Publish Date,Price
"Sarah, Plain and Tall","By MacLachlan, Patricia","""Did Mama sing every day?"" Caleb asks his sister Anna.""Every-single-day,"" she answers. ""Papa sang, too.""This Newbery Medal–winning book is the first of five books in Patricia MacLachlan's chapter book series about the Witting family. Set in the late nineteenth century and told from young Anna's point of view, Sarah, Plain and Tall tells the story of how Sarah Elisabeth Wheaton comes from Maine to the prairie to answer Papa's advertisement for a wife and mother. Before Sarah arrives, Anna and her younger brother Caleb wait and wonder. Will Sarah be nice? Will she sing? Will she stay?This children's literature classic is perfect for fans of Laura Ingalls Wilder's Little House on the Prairie books, historical fiction, and timeless stories using rich and beautiful language. Sarah, Plain and Tall gently explores themes of abandonment, loss and love.Supports the Common Core State Standards"," Juvenile Fiction , Family , Blended Families",HarperCollins,"Tuesday, September 1, 1987",Price Starting at $5.29
Suzy Gershman's Born to Shop London,"By Gershman, Suzy","""Gershman's guide may be the best guide for novice and pro shoppers alike,"" praises The Washington Post, and you'll agree. For more than ten years, Suzy Gershman has been leading savvy shoppers to the world's best finds. Now Born to Shop London, 12th Edition is easier to use and packed with more up-to-date listings than ever before. Inside you'll find: The best of the shopping scene, from world-class department stores ands trendy boutiques to street markets and sample salesExcellent values, from antiques to Doc MartensGreat gift ideas, even for the friend who has everything—plus the best gifts for less than $15The best airfare, hotel, and dining values—so you can maximize your shopping dollarsDetailed city maps and shopping tours"," Travel , Europe , Great Britain",Frommer's,"Saturday, April 1, 2006",Price Starting at $4.99
Wild Rose of Ruby Canyon,"By Nesbitt, John D.","When his new neighbor, Van O'Leary, approaches him with a money-making scam, homesteader Henry Sommers learns that freeing himself of O'Leary is much harder then it looks and extremely dangerous. Original."," Fiction , Westerns",Leisure Books,"Saturday, May 1, 1999",Price Starting at $4.99
50 Best Mashed Potatoes (365 Ways Series),"By Reynolds, Sarah","50 creative recipes for everybody's favorite comfort food--mashed potatoes.50 Best Mashed Potatoes has them all, from traditional favorites like Buttermilk Mashed Potatoes and Mashed Potatoes with Cream Gravy to new classics like Chipotle Mashed Potatoes with Cilantro Butter and Mashed Potatoes with Wild Mushroom Ragout.  Also included are recipes for mashed potato--cheese combinations and potato-vegetable purées, as well as recipes using leftover mashed potatoes (should you be so lucky).  From the most basic to the most elaborate, the leanest to the richest, the humblest to the most elegant, there's a mashed potato for every occasion."," Cooking , Specific Ingredients , Vegetables",Clarkson Potter,"Monday, September 1, 1997",Price Starting at $4.99
Developmental Exercises to Accompany Rules for Writers,"By Hacker, Diana and Van Goor, Wanda",," Language Arts & Disciplines , Composition & Creative Writing",Bedford/St. Martin's,"Tuesday, July 1, 2003",Price Starting at $5.29
"Plum Island (A John Corey Novel, 1)","By DeMille, Nelson","#1 NEW YORK TIMES BESTSELLERCELEBRATING THE 20th ANNIVERSARY WITH A NEW FOREWORD BY THE AUTHORWounded in the line of duty, NYPD homicide detective John Corey convalesces in the Long Island township of Southold, home to farmers, fishermen -- and at least one killer. Tom and Judy Gordon, a young, attractive couple Corey knows, have been found on their patio, each with a bullet in the head. The local police chief, Sylvester Maxwell, wants Corey's big-city expertise, but Maxwell gets more than he bargained for. John Corey doesn't like mysteries, which is why he likes to solve them. His investigations lead him into the lore, legends, and ancient secrets of northern Long Island -- more deadly and more dangerous than he could ever have imagined. During his journey of discovery, he meets two remarkable women, Detective Beth Penrose and Mayflower descendant Emma Whitestone, both of whom change his life irrevocably. Ultimately, through his understanding of the murders, John Corey comes to understand himself. Fast-paced and atmospheric, marked by entrancing characters, incandescent storytelling, and brilliant comic touches, Plum Island is Nelson DeMille at his thrill-inducing best."," Fiction , Thrillers , Suspense",Grand Central Publishing,"Tuesday, April 1, 1997",Price Starting at $6.17
Harriet Lane Handbook: A Manual for Pediatric House Officers,"By Siberry, George K., M.D. (EDT) and Iannone, Robert (EDT)","The HARRIET LANE HANDBOOK is the essential resource for health care professionals who work with children. Diagnostic guidelines, recommended tests, therapeutics, and dosage schedules are presented in a readily accessible, pocket-sized format. The New Edition includes new chapters on Psychiatry, Surgery, and Oncology, fully updated drug information with lactation and safety in pregnancy information, and full trade name and generic name drug index.* Presents diagnostic guidelines, recommended tests, therapeutics and drug dosage schedules for a true one-stop reference of clinical pediatric information. * Includes more than 300 illustrations, table and charts for easy reference of key information. * Presents the latest guidelines, practices and recommendations in a style appropriate for busy clinical practice. * Features a comprehensive formulary with the latest approved drugs.  NEW TO THIS EDITION: * Includes three new chapters on Psychiatry, Surgery and Oncology. * Features thoroughly updated chapters with the latest pediatric information. * Includes lactation and safety in pregnancy information with the revised formulary for one easy-to-access, pocket-size reference. * Provides a trade name and generic name drug index."," Medical , Pediatrics",Mosby,"Saturday, January 1, 2000",Price Starting at $5.47
The Extinct Alphabet Book (Jerry Pallotta's Alphabet Books),"By Masiello, Ralph (ILT) and Pallotta, Jerry","Learn about the five-eyed Opabinia and the Four-toed Horse. Speculate about the life of the Jamaican Long-tongued Bat. Discover the fate of the beautiful Quagga. But don't look for any dinosaurs in this book. There aren't any!Millions of creatures other than dinosaurs are now extinct. In true alphabet book tradition, the author has found twenty-six of the most extraordinary past-inhabitants of the Earth.Jerry Pallotta and Ralph Masiello team up to provide exciting, accurate text and illustrations filled with unusual and amusing insight that will satisfy fans of all ages."," Juvenile Nonfiction , Concepts , Alphabet",Charlesbridge,"Thursday, July 1, 1993",Price Starting at $5.29
Needlework styles for period furniture,"By Hanley, Hope",,,Scribner,"Sunday, January 1, 1978",Price Starting at $5.41
Mr. Timothy: A Novel,"By Bayard, Louis","It's the Christmas season, and Mr. Timothy Cratchit, not the pious child the world thought he was, has just buried his father. He's also struggling to bury his past as a cripple and shed his financial ties to his benevolent ""Uncle"" Ebenezer by losing himself in the thick of London's underbelly. He boards at a brothel in exchange for teaching the mistress how to read and spends his nights dredging the Thames for dead bodies and the treasures in their pockets.Timothy's life takes a sharp turn when he discovers the bodies of two dead girls, each seared with the same cruel brand on the upper arm. The sight of their horror-struck faces compels Timothy to become the protector of another young girl, Philomela, from the fate the others suffered at the hands of a dangerous and powerful man.A different kind of Christmas story, this breathless flight through the teeming markets, shadowy passageways, and rolling brown fog of 1860s London would do Dickens proud for its surprising twists and turns, and its extraordinary heart."," Fiction , General",William Morrow Paperbacks,"Friday, October 1, 2004",Price Starting at $5.29
